card,power,toughness,text
"Kumena, Tyrant of Orazca",2,4,"Tap another untapped Merfolk you control: Kumena, Tyrant of Orazca can't be blocked this turn. Tap three untapped Merfolk you control: Draw a card. Tap five untapped Merfolk you control: Put a +1/+1 counter on each Merfolk you control."
Kumena's Awakening,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of your upkeep, each player draws a card. If you have the city's blessing, instead only you draw a card."
Kumena's Speaker,1,1,Kumena's Speaker gets +1/+1 as long as you control another Merfolk or an Island.
Legion Conquistador,2,2,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle your library."
Legion Lieutenant,2,2,Other Vampires you control get +1/+1.
Legion's Judgment,,,Destroy target creature with power 4 or greater.
Legion's Landing,,,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink. When you attack with three or more creatures, transform Legion's Landing."
Lightning Strike,,,Lightning Strike deals 3 damage to target creature or player.
Lightning-Rig Crew,0,5,"{T}: Lightning-Rig Crew deals 1 damage to each opponent. Whenever you cast a Pirate spell, untap Lightning-Rig Crew."
Lookout's Dispersal,,,Lookout's Dispersal costs {1} less to cast if you control a Pirate. Counter target spell unless its controller pays {4}.
Looming Altisaur,1,7,
Luminous Bonds,,,Enchant creature. Enchanted creature can't attack or block.
Lurking Chupacabra,2,3,"Whenever a creature you control explores, target creature an opponent controls gets -2/-2 until end of turn."
Majestic Heliopterus,2,2,"Flying. Whenever Majestic Heliopterus attacks, another target Dinosaur you control gains flying until end of turn."
Makeshift Munitions,,,"{1}, Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to target creature or player."
Marauding Looter,4,3,"Raid — At the beginning of your end step, if you attacked with a creature this turn, you may draw a card. If you do, discard a card."
March of the Drowned,,,Choose one —. • Return target creature card from your graveyard to your hand. • Return two target Pirate cards from your graveyard to your hand.
Mark of the Vampire,,,Enchant creature. Enchanted creature gets +2/+2 and has lifelink.
Martyr of Dusk,2,1,"When Martyr of Dusk dies, create a 1/1 white Vampire creature token with lifelink."
Mastermind's Acquisition,,,"Choose one —. • Search your library for a card, put it into your hand, then shuffle your library. • Choose a card you own from outside the game and put it into your hand."
Mausoleum Harpy,3,3,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever another creature you control dies, if you have the city's blessing, put a +1/+1 counter on Mausoleum Harpy."
"Mavren Fein, Dusk Apostle",2,2,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink."
Merfolk Branchwalker,2,1,"When Merfolk Branchwalker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Merfolk Mistbinder,2,2,Other Merfolk you control get +1/+1.
Mist-Cloaked Herald,1,1,Mist-Cloaked Herald can't be blocked.
Moment of Craving,,,Target creature gets -2/-2 until end of turn. You gain 2 life.
Moment of Triumph,,,Target creature gets +2/+2 until end of turn. You gain 2 life.
Mutiny,,,Target creature an opponent controls deals damage equal to its power to another target creature that player controls.
Naturalize,,,Destroy target artifact or enchantment.
Navigator's Ruin,,,"Raid — At the beginning of your end step, if you attacked with a creature this turn, target opponent puts the top four cards of his or her library into his or her graveyard."
Needletooth Raptor,2,2,"Enrage — Whenever Needletooth Raptor is dealt damage, it deals 5 damage to target creature an opponent controls."
Negate,,,Counter target noncreature spell.
Nest Robber,2,1,Haste
New Horizons,,,"Enchant land. When New Horizons enters the battlefield, put a +1/+1 counter on target creature you control. Enchanted land has ""{T}: Add two mana of any one color to your mana pool."""
"Nezahal, Primal Tide",7,7,"Nezahal, Primal Tide can't be countered. You have no maximum hand size. Whenever an opponent casts a noncreature spell, draw a card. Discard three cards: Exile Nezahal. Return it to the battlefield tapped under its owner's control at the beginning of the next end step."
Oathsworn Vampire,2,2,Oathsworn Vampire enters the battlefield tapped. You may cast Oathsworn Vampire from your graveyard if you gained life this turn.
Old-Growth Dryads,3,3,"When Old-Growth Dryads enters the battlefield, each opponent may search his or her library for a basic land card, put it onto the battlefield tapped, then shuffle his or her library."
One With the Wind,,,Enchant creature. Enchanted creature gets +2/+2 and has flying.
Opt,,,Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.). Draw a card.
Orazca Frillback,4,2,
Orazca Raptor,3,4,
Orazca Relic,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {T}: Add {C} to your mana pool. {T}, Sacrifice Orazca Relic: You gain 3 life and draw a card. Activate this ability only if you have the city's blessing."
Otepec Huntmaster,1,2,Dinosaur spells you cast cost {1} less to cast. {T}: Target Dinosaur gains haste until end of turn.
Overflowing Insight,,,Target player draws seven cards.
Overgrown Armasaur,4,4,"Enrage — Whenever Overgrown Armasaur is dealt damage, create a 1/1 green Saproling creature token."
Paladin of Atonement,1,1,"At the beginning of each upkeep, if you lost life last turn, put a +1/+1 counter on Paladin of Atonement. When Paladin of Atonement dies, you gain life equal to its toughness."
Paladin of the Bloodstained,3,2,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Path of Discovery,,,"Whenever a creature enters the battlefield under your control, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.)"
Path of Mettle,,,"When Path of Mettle enters the battlefield, it deals 1 damage to each creature that doesn't have first strike, double strike, vigilance, or haste. Whenever you attack with at least two creatures that have first strike, double strike, vigilance, and/or haste, transform Path of Mettle."
Perilous Voyage,,,"Return target nonland permanent you don't control to its owner's hand. If its converted mana cost was 2 or less, scry 2."
Pillar of Origins,,,"As Pillar of Origins enters the battlefield, choose a creature type. {T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
Pious Interdiction,,,"Enchant creature. When Pious Interdiction enters the battlefield, you gain 2 life. Enchanted creature can't attack or block."
Pirate's Cutlass,,,"When Pirate's Cutlass enters the battlefield, attach it to target Pirate you control. Equipped creature gets +2/+1. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Pirate's Pillage,,,"As an additional cost to cast Pirate's Pillage, discard a card. Draw two cards and create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Pirate's Prize,,,"Draw two cards. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Pitiless Plunderer,1,4,"Whenever another creature you control dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Plummet,,,Destroy target creature with flying.
Polyraptor,5,5,"Enrage — Whenever Polyraptor is dealt damage, create a token that's a copy of Polyraptor."
Pounce,,,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Pride of Conquerors,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Creatures you control get +1/+1 until end of turn. If you have the city's blessing, those creatures get +2/+2 until end of turn instead."
Priest of the Wakening Sun,1,1,"At the beginning of your upkeep, you may reveal a Dinosaur card from your hand. If you do, you gain 2 life. {3}{W}{W}, Sacrifice Priest of the Wakening Sun: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle your library."
Primal Amulet,,,"Instant and sorcery spells you cast cost {1} less to cast. Whenever you cast an instant or sorcery spell, put a charge counter on Primal Amulet. Then if there are four or more charge counters on it, you may remove those counters and transform it."
Profane Procession,,,"{3}{W}{B}: Exile target creature. Then if there are three or more cards exiled with Profane Procession, transform it."
Prosperous Pirates,3,4,"When Prosperous Pirates enters the battlefield, create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Protean Raider,2,2,"Raid — If you attacked with a creature this turn, you may have Protean Raider enter the battlefield as a copy of any creature on the battlefield."
Prying Blade,,,"Equipped creature gets +1/+0. Whenever equipped creature deals combat damage to a player, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Pterodon Knight,3,3,Pterodon Knight has flying as long as you control a Dinosaur.
Queen's Agent,3,3,"Lifelink. When Queen's Agent enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Queen's Bay Soldier,2,2,
Queen's Commission,,,Create two 1/1 white Vampire creature tokens with lifelink.
Radiant Destiny,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). As Radiant Destiny enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance."
Raging Regisaur,4,4,"Whenever Raging Regisaur attacks, it deals 1 damage to target creature or player."
Raging Swordtooth,5,5,"Trample. When Raging Swordtooth enters the battlefield, it deals 1 damage to each other creature."
Raiders' Wake,,,"Whenever an opponent discards a card, that player loses 2 life. Raid — At the beginning of your end step, if you attacked with a creature this turn, target opponent discards a card."
Rallying Roar,,,Creatures you control get +1/+1 until end of turn. Untap them.
Rampaging Ferocidon,3,3,"Menace. Players can't gain life. Whenever another creature enters the battlefield, Rampaging Ferocidon deals 1 damage to that creature's controller."
Ranging Raptors,2,3,"Enrage — Whenever Ranging Raptors is dealt damage, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Raptor Companion,3,1,
Raptor Hatchling,1,1,"Enrage — Whenever Raptor Hatchling is dealt damage, create a 3/3 green Dinosaur creature token with trample."
Ravenous Chupacabra,2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls."
Ravenous Daggertooth,3,2,"Enrage — Whenever Ravenous Daggertooth is dealt damage, you gain 2 life."
Reaver Ambush,,,Exile target creature with power 3 or less.
Reckless Rage,,,Reckless Rage deals 4 damage to target creature you don't control and 2 damage to target creature you control.
Recover,,,Return target creature card from your graveyard to your hand. Draw a card.
Regisaur Alpha,4,4,"Other Dinosaurs you control have haste. When Regisaur Alpha enters the battlefield, create a 3/3 green Dinosaur creature token with trample."
Rekindling Phoenix,4,3,"Flying. When Rekindling Phoenix dies, create a 0/1 red Elemental creature token with ""At the beginning of your upkeep, sacrifice this creature and return target card named Rekindling Phoenix from your graveyard to the battlefield. It gains haste until end of turn."""
Release to the Wind,,,"Exile target nonland permanent. For as long as that card remains exiled, its owner may cast it without paying its mana cost."
Relentless Raptor,3,3,Vigilance. Relentless Raptor attacks or blocks each combat if able.
Repeating Barrage,,,Repeating Barrage deals 3 damage to target creature or player. Raid — {3}{R}{R}: Return Repeating Barrage from your graveyard to your hand. Activate this ability only if you attacked with a creature this turn.
Resplendent Griffin,2,2,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Resplendent Griffin attacks, if you have the city's blessing, put a +1/+1 counter on it."
Revel in Riches,,,"Whenever a creature an opponent controls dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". At the beginning of your upkeep, if you control ten or more Treasures, you win the game."
Rigging Runner,1,1,First strike. Raid — Rigging Runner enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Rile,,,Rile deals 1 damage to target creature you control. That creature gains trample until end of turn. Draw a card.
Ripjaw Raptor,4,5,"Enrage — Whenever Ripjaw Raptor is dealt damage, draw a card."
Ritual of Rejuvenation,,,You gain 4 life. Draw a card.
River Darter,2,3,River Darter can't be blocked by Dinosaurs.
River Heralds' Boon,,,Put a +1/+1 counter on target creature and a +1/+1 counter on up to one target Merfolk.
River Sneak,1,1,"River Sneak can't be blocked. Whenever another Merfolk enters the battlefield under your control, River Sneak gets +1/+1 until end of turn."
River's Rebuke,,,Return all nonland permanents target player controls to their owner's hand.
Riverwise Augur,2,2,"When Riverwise Augur enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order."
Rootbound Crag,,,Rootbound Crag enters the battlefield tapped unless you control a Mountain or a Forest. {T}: Add {R} or {G} to your mana pool.
Rowdy Crew,3,3,"Trample. When Rowdy Crew enters the battlefield, draw three cards, then discard two cards at random. If two cards that share a card type are discarded this way, put two +1/+1 counters on Rowdy Crew."
Ruin Raider,3,2,"Raid — At the beginning of your end step, if you attacked with a creature this turn, reveal the top card of your library and put that card into your hand. You lose life equal to the card's converted mana cost."
Rummaging Goblin,1,1,"{T}, Discard a card: Draw a card."
Run Aground,,,Put target artifact or creature on top of its owner's library.
Ruthless Knave,3,2,"{2}{B}, Sacrifice a creature: Create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". Sacrifice three Treasures: Draw a card."
Sadistic Skymarcher,2,2,"As an additional cost to cast Sadistic Skymarcher, reveal a Vampire card from your hand or pay {1}. Flying, lifelink"
Sailor of Means,1,4,"When Sailor of Means enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Sanctum Seeker,3,4,"Whenever a Vampire you control attacks, each opponent loses 1 life and you gain 1 life."
Sanguine Glorifier,3,3,"When Sanguine Glorifier enters the battlefield, put a +1/+1 counter on another target Vampire you control."
Sanguine Sacrament,,,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.
Savage Stomp,,,Savage Stomp costs {2} less to cast if it targets a Dinosaur you control. Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)
Sea Legs,,,"Flash. Enchant creature. Enchanted creature gets +0/+2 as long as it's a Pirate. Otherwise, it gets -2/-0."
Seafloor Oracle,2,3,"Whenever a Merfolk you control deals combat damage to a player, draw a card."
Search for Azcanta,,,"At the beginning of your upkeep, look at the top card of your library. You may put it into your graveyard. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta."
Secrets of the Golden City,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Draw two cards. If you have the city's blessing, draw three cards instead."
See Red,,,"Enchant creature. Enchanted creature gets +2/+1 and has first strike. At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice See Red."
Seekers' Squire,1,2,"When Seekers' Squire enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Sentinel Totem,,,"When Sentinel Totem enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.). {T}, Exile Sentinel Totem: Exile all cards from all graveyards."
Settle the Wreckage,,,"Exile all attacking creatures target player controls. That player may search his or her library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle his or her library."
Shadowed Caravel,2,2,"Whenever a creature you control explores, put a +1/+1 counter on Shadowed Caravel. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Shake the Foundations,,,Shake the Foundations deals 1 damage to each creature without flying. Draw a card.
Shaper Apprentice,2,1,Shaper Apprentice has flying as long as you control another Merfolk.
Shapers of Nature,3,3,"{3}{G}: Put a +1/+1 counter on target creature. {2}{U}, Remove a +1/+1 counter from a creature you control: Draw a card."
Shapers' Sanctuary,,,"Whenever a creature you control becomes the target of a spell or ability an opponent controls, you may draw a card."
Shatter,,,Destroy target artifact.
Sheltering Light,,,"Target creature gains indestructible until end of turn. Scry 1. (Damage and effects that say ""destroy"" don't destroy the creature.)"
Shining Aerosaur,3,4,Flying
Shipwreck Looter,2,1,"Raid — When Shipwreck Looter enters the battlefield, if you attacked with a creature this turn, you may draw a card. If you do, discard a card."
Shore Keeper,0,3,"{7}{U}, {T}, Sacrifice Shore Keeper: Draw three cards."
Siegehorn Ceratops,2,2,"Enrage — Whenever Siegehorn Ceratops is dealt damage, put two +1/+1 counters on it. (It must survive the damage to get the counters.)"
Silent Gravestone,,,"Cards in graveyards can't be the targets of spells or abilities. {4}, {T}: Exile Silent Gravestone and all cards from all graveyards. Draw a card."
Silverclad Ferocidons,8,5,"Enrage — Whenever Silverclad Ferocidons is dealt damage, each opponent sacrifices a permanent."
Silvergill Adept,2,1,"As an additional cost to cast Silvergill Adept, reveal a Merfolk card from your hand or pay {3}. When Silvergill Adept enters the battlefield, draw a card."
Siren Lookout,1,2,"Flying. When Siren Lookout enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Siren Reaver,3,2,Raid — Siren Reaver costs {1} less to cast if you attacked with a creature this turn. Flying
Siren Stormtamer,1,1,"Flying. {U}, Sacrifice Siren Stormtamer: Counter target spell or ability that targets you or a creature you control."
Siren's Ruse,,,"Exile target creature you control, then return that card to the battlefield under its owner's control. If a Pirate was exiled this way, draw a card."
Skittering Heartstopper,1,2,{B}: Skittering Heartstopper gains deathtouch until end of turn.
Skulduggery,,,"Until end of turn, target creature you control gets +1/+1 and target creature an opponent controls gets -1/-1."
Sky Terror,2,2,"Flying, menace"
Skyblade of the Legion,1,3,Flying
Skymarch Bloodletter,2,2,"Flying. When Skymarch Bloodletter enters the battlefield, target opponent loses 1 life and you gain 1 life."
Skymarcher Aspirant,2,1,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Skymarcher Aspirant has flying as long as you have the city's blessing."
Slash of Talons,,,Slash of Talons deals 2 damage to target attacking or blocking creature.
Slaughter the Strong,,,"Each player chooses any number of creatures he or she controls with total power 4 or less, then sacrifices all other creatures he or she controls."
Sleek Schooner,4,3,Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
Slice in Twain,,,Destroy target artifact or enchantment. Draw a card.
Slippery Scoundrel,2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). As long as you have the city's blessing, Slippery Scoundrel has hexproof and can't be blocked."
Snapping Sailback,4,4,"Flash. Enrage — Whenever Snapping Sailback is dealt damage, put a +1/+1 counter on it. (It must survive the damage to get the counter.)"
Snubhorn Sentry,0,3,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Snubhorn Sentry gets +3/+0 as long as you have the city's blessing."
Sorcerous Spyglass,,,"As Sorcerous Spyglass enters the battlefield, look at an opponent's hand, then choose any card name. Activated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Soul of the Rapids,3,2,Flying. Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Spell Pierce,,,Counter target noncreature spell unless its controller pays {2}.
Spell Swindle,,,"Counter target spell. Create X colorless Treasure artifact tokens, where X is that spell's converted mana cost. They have ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Sphinx's Decree,,,Each opponent can't cast instant or sorcery spells during that player's next turn.
Spike-Tailed Ceratops,4,4,Spike-Tailed Ceratops can block an additional creature each combat.
Spire Winder,2,3,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Spire Winder gets +1/+1 as long as you have the city's blessing."
Spreading Rot,,,Destroy target land. Its controller loses 2 life.
Squire's Devotion,,,"Enchant creature. Enchanted creature gets +1/+1 and has lifelink. When Squire's Devotion enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Stampeding Horncrest,4,4,Stampeding Horncrest has haste as long as you control another Dinosaur.
Star of Extinction,,,Destroy target land. Star of Extinction deals 20 damage to each creature and each planeswalker.
Steadfast Armasaur,2,3,"Vigilance. {1}{W}, {T}: Steadfast Armasaur deals damage equal to its toughness to target creature blocking or blocked by it."
Stone Quarry,,,Stone Quarry enters the battlefield tapped. {T}: Add {R} or {W} to your mana pool.
Storm Fleet Aerialist,1,2,Flying. Raid — Storm Fleet Aerialist enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Storm Fleet Arsonist,4,4,"Raid — When Storm Fleet Arsonist enters the battlefield, if you attacked with a creature this turn, target opponent sacrifices a permanent."
Storm Fleet Pyromancer,3,2,"Raid — When Storm Fleet Pyromancer enters the battlefield, if you attacked with a creature this turn, Storm Fleet Pyromancer deals 2 damage to target creature or player."
Storm Fleet Sprinter,2,2,Haste. Storm Fleet Sprinter can't be blocked.
Storm Fleet Spy,2,2,"Raid — When Storm Fleet Spy enters the battlefield, if you attacked with a creature this turn, draw a card."
Storm Fleet Swashbuckler,2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Storm Fleet Swashbuckler has double strike as long as you have the city's blessing."
Storm Sculptor,3,2,"Storm Sculptor can't be blocked. When Storm Sculptor enters the battlefield, return a creature you control to its owner's hand."
Storm the Vault,,,"Whenever one or more creatures you control deal combat damage to a player, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". At the beginning of your end step, if you control five or more artifacts, transform Storm the Vault."
Strength of the Pack,,,Put two +1/+1 counters on each creature you control.
Strider Harness,,,Equipped creature gets +1/+1 and has haste. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Sun Sentinel,2,2,Vigilance
Sun-Blessed Mount,4,4,"When Sun-Blessed Mount enters the battlefield, you may search your library and/or graveyard for a card named Huatli, Dinosaur Knight, reveal it, then put it into your hand. If you searched your library this way, shuffle it."
Sun-Collared Raptor,1,2,Trample. {2}{R}: Sun-Collared Raptor gets +3/+0 until end of turn.
Sun-Crested Pterodon,2,5,Flying. Sun-Crested Pterodon has vigilance as long as you control another Dinosaur.
Sun-Crowned Hunters,5,4,"Enrage — Whenever Sun-Crowned Hunters is dealt damage, it deals 3 damage to target opponent."
Sunbird's Invocation,,,"Whenever you cast a spell from your hand, reveal the top X cards of your library, where X is that spell's converted mana cost. You may cast a card revealed this way with converted mana cost X or less without paying its mana cost. Put the rest on the bottom of your library in a random order."
Sunpetal Grove,,,Sunpetal Grove enters the battlefield tapped unless you control a Forest or a Plains. {T}: Add {G} or {W} to your mana pool.
Sunrise Seeker,3,3,"Vigilance. When Sunrise Seeker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Sure Strike,,,Target creature gets +3/+0 and gains first strike until end of turn.
Swab Goblin,2,2,
Swaggering Corsair,2,2,Raid — Swaggering Corsair enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Swashbuckling,,,Enchant creature. Enchanted creature gets +2/+2 and has haste.
Swift Warden,3,3,"Flash. When Swift Warden enters the battlefield, target Merfolk you control gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)"
Sword-Point Diplomacy,,,"Reveal the top three cards of your library. For each of those cards, put that card into your hand unless any opponent pays 3 life. Then exile the rest."
Sworn Guardian,1,3,
Tempest Caller,2,3,"When Tempest Caller enters the battlefield, tap all creatures target opponent controls."
Temple Altisaur,3,4,"If a source would deal damage to another Dinosaur you control, prevent all but 1 of that damage."
Tendershoot Dryad,2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of each upkeep, create a 1/1 green Saproling creature token. Saprolings you control get +2/+2 as long as you have the city's blessing."
Territorial Hammerskull,2,3,"Whenever Territorial Hammerskull attacks, tap target creature an opponent controls."
"Tetzimoc, Primal Death",6,6,"Deathtouch. {B}, Reveal Tetzimoc, Primal Death from your hand: Put a prey counter on target creature. Activate this ability only during your turn. When Tetzimoc enters the battlefield, destroy each creature your opponents control with a prey counter on it."
Thaumatic Compass,,,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library. At the beginning of your end step, if you control seven or more lands, transform Thaumatic Compass."
The Immortal Sun,,,"Players can't activate planeswalkers' loyalty abilities. At the beginning of your draw step, draw an additional card. Spells you cast cost {1} less to cast. Creatures you control get +1/+1."
Thrash of Raptors,3,3,"As long as you control another Dinosaur, Thrash of Raptors gets +2/+0 and has trample."
Thrashing Brontodon,3,4,"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment."
Thunderherd Migration,,,"As an additional cost to cast Thunderherd Migration, reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Thundering Spineback,5,5,Other Dinosaurs you control get +1/+1. {5}{G}: Create a 3/3 green Dinosaur creature token with trample.
Tilonalli's Crown,,,"Enchant creature. When Tilonalli's Crown enters the battlefield, it deals 1 damage to enchanted creature. Enchanted creature gets +3/+0 and has trample."
Tilonalli's Knight,2,2,"Whenever Tilonalli's Knight attacks, if you control a Dinosaur, Tilonalli's Knight gets +1/+1 until end of turn."
Tilonalli's Skinshifter,0,1,"Haste. Whenever Tilonalli's Skinshifter attacks, it becomes a copy of another target nonlegendary attacking creature until end of turn."
Tilonalli's Summoner,1,1,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Tilonalli's Summoner attacks, you may pay {X}{R}. If you do, create X 1/1 red Elemental creature tokens that are tapped and attacking. At the beginning of the next end step, exile those tokens unless you have the city's blessing."
Timestream Navigator,1,1,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {2}{U}{U}, {T}, Put Timestream Navigator on the bottom of its owner's library: Take an extra turn after this one. Activate this ability only if you have the city's blessing."
"Tishana, Voice of Thunder",*,*,"Tishana, Voice of Thunder's power and toughness are each equal to the number of cards in your hand. You have no maximum hand size. When Tishana enters the battlefield, draw a card for each creature you control."
Tishana's Wayfinder,2,2,"When Tishana's Wayfinder enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Tocatli Honor Guard,1,3,Creatures entering the battlefield don't cause abilities to trigger.
Tomb Robber,1,1,"Menace. {1}, Discard a card: Tomb Robber explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Trapjaw Tyrant,5,5,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield."
Traveler's Amulet,,,"{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library."
Treasure Map,,,"{1}, {T}: Scry 1. Put a landmark counter on Treasure Map. Then if there are three or more landmark counters on it, remove those counters, transform Treasure Map, and create three colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Trove of Temptation,,,"Each opponent must attack you or a planeswalker you control with at least one creature each combat if able. At the beginning of your end step, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Twilight Prophet,2,4,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). At the beginning of your upkeep, if you have the city's blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card's converted mana cost."
Unclaimed Territory,,,"As Unclaimed Territory enters the battlefield, choose a creature type. {T}: Add {C} to your mana pool. {T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
Unfriendly Fire,,,Unfriendly Fire deals 4 damage to target creature or player.
Unknown Shores,,,"{T}: Add {C} to your mana pool. {1}, {T}: Add one mana of any color to your mana pool."
Vampire Champion,3,3,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Vampire Revenant,3,1,Flying
Vampire's Zeal,,,"Target creature gets +2/+2 until end of turn. If it's a Vampire, it gains first strike until end of turn."
Vance's Blasting Cannons,,,"At the beginning of your upkeep, exile the top card of your library. If it's a nonland card, you may cast that card this turn. Whenever you cast your third spell in a turn, you may transform Vance's Blasting Cannons."
Vanquish the Weak,,,Destroy target creature with power 3 or less.
Vanquisher's Banner,,,"As Vanquisher's Banner enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. Whenever you cast a creature spell of the chosen type, draw a card."
Verdant Rebirth,,,"Until end of turn, target creature gains ""When this creature dies, return it to its owner's hand."". Draw a card."
